uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
43369,4286,TB-1060,0,0,0,0,0,0,0,1,1,6,0,0
43370,4286,AG-0500,0,0,0,0,0,0,0,3,1,2,0,0
43371,4286,DI-0075,0,0,0,0,0,0,0,2,1,7,0,0
43372,4286,SM-1750,0,0,0,0,0,0,0,0,0,0,0,4
43373,4286,BB-2425,6,3,24,0,0,0,0,0,0,0,0,0
43374,4286,AH-3900,0,0,0,0,0,0,0,3,1,5,0,0
43375,4286,ML-1500,0,0,0,0,0,0,0,1,1,4,0,0
43376,4286,KF-0150,0,0,0,0,1,1,4,0,0,0,0,0
43377,4286,DR-2250,0,0,0,0,0,0,0,1,0,0,0,0
43378,4286,CG-1950,0,0,0,0,0,0,0,1,1,15,0,0
43379,4287,EL-0010,0,0,0,0,2,1,2,0,0,0,0,0
43380,4287,AR-1300,3,1,1,0,1,1,10,0,0,0,0,0
43381,4287,JN-0900,0,0,0,0,0,0,0,2,1,1,0,0
43382,4287,SB-1100,3,3,21,0,0,0,0,0,0,0,0,0
43383,4287,SD-0537,0,0,0,0,0,0,0,2,2,13,0,0
43384,4287,KR-1200,0,0,0,0,0,0,0,1,1,8,0,0
43385,4287,JS-6200,0,0,0,0,2,0,-5,0,0,0,0,0
43386,4287,DA-0212,0,0,0,0,0,0,0,1,0,0,0,0
43387,4288,DS-3300,0,0,0,0,4,1,23,0,0,0,0,0
43388,4288,CW-1425,7,4,20,0,2,1,2,0,0,0,0,0
43389,4288,BC-0700,0,0,0,0,0,0,0,1,0,0,0,0
43390,4288,NA-0050,0,0,0,0,0,0,0,3,2,15,0,0
43391,4288,RM-1200,0,0,0,0,3,2,0,1,1,3,0,0
43392,4288,JC-6200,3,2,5,0,0,0,0,0,0,0,0,0
43393,4288,KC-0250,0,0,0,0,0,0,0,1,1,3,0,0
43394,4288,AJ-0430,0,0,0,0,0,0,0,2,1,2,0,0
43395,4288,ER-0500,0,0,0,0,0,0,0,1,0,0,0,0
43396,4288,JL-0280,0,0,0,0,2,1,1,0,0,0,0,0
43397,4288,KB-0350,0,0,0,0,2,1,2,0,0,0,0,0
43398,4288,TB-3950,0,0,0,0,0,0,0,2,1,2,0,0
43399,4288,BH-1900,3,0,0,0,0,0,0,0,0,0,0,0
43400,4288,KW-0887,0,0,0,0,0,0,0,2,0,0,0,0
43401,4289,LB-0500,0,0,0,0,6,3,14,0,0,0,0,0
43402,4289,JE-0100,0,0,0,0,2,1,6,1,0,0,0,0
43403,4289,JB-5725,5,2,10,0,0,0,0,0,0,0,0,0
43404,4289,RG-2200,0,0,0,0,0,0,0,1,0,0,0,0
43405,4289,DA-0900,0,0,0,0,0,0,0,1,1,7,0,0
43406,4289,CH-3350,0,0,0,0,0,0,0,1,1,3,0,0
43407,4289,MB-1800,0,0,0,0,0,0,0,1,0,0,0,0
