gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,olid
4257,697309,CAR,DEN,PASS,3,27,4,8,8,17,21,2,2,3,2,33,2,1,1,1,0,0,0,0,0,0,0,0,2035
4257,697310,CAR,DEN,RUSH,4,37,4,7,41,17,21,2,2,1,10,44,3,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697311,CAR,DEN,PASS,5,28,4,7,4,17,21,2,2,2,7,47,3,1,1,1,0,1,0,1,0,0,0,0,2035
4257,697312,CAR,DEN,PASS,6,43,4,6,36,17,21,2,2,1,10,65,4,1,1,1,0,1,0,0,0,0,0,0,2035
4257,697313,CAR,DEN,RUSH,7,40,4,5,53,17,21,2,2,1,10,77,4,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697314,CAR,DEN,RUSH,8,45,4,5,13,17,21,2,2,2,6,81,5,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697315,CAR,DEN,PASS,9,3,4,4,28,17,21,2,2,3,5,82,5,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697316,CAR,DEN,FGXP,10,4,4,4,25,17,21,2,2,4,5,82,5,0,0,0,3,0,0,0,0,0,0,0,0
4257,697317,DEN,CAR,KOFF,0,6,4,4,21,21,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697318,DEN,CAR,PASS,1,10,4,4,21,21,20,2,2,1,10,25,2,0,0,0,0,0,0,0,0,0,0,0,2034
4257,697319,DEN,CAR,RUSH,2,41,4,4,17,21,20,2,2,2,10,25,2,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697320,DEN,CAR,PASS,3,19,4,3,36,21,20,2,2,3,7,28,2,0,1,0,0,0,1,0,0,0,0,0,2034
4257,697321,CAR,DEN,PUNT,0,11,4,3,17,20,21,1,2,4,17,18,1,0,0,0,0,0,0,0,0,0,0,0,0
4257,697322,CAR,DEN,NOPL,0,20,4,3,6,20,21,1,2,1,10,40,2,0,0,0,0,0,0,1,0,0,0,0,2035
4257,697323,CAR,DEN,PASS,1,30,4,3,6,20,21,1,2,1,15,35,2,0,1,0,0,0,1,0,0,0,0,0,2035
4257,697324,CAR,DEN,RUSH,2,8,4,2,23,20,21,1,2,2,20,30,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697325,CAR,DEN,PASS,3,15,4,2,15,20,21,1,2,3,15,35,2,0,1,0,0,0,1,0,0,0,0,0,2035
4257,697326,CAR,DEN,NOPL,3,6,4,2,0,20,21,1,2,4,21,29,2,0,0,0,0,0,0,1,0,0,0,0,2035
4257,697327,CAR,DEN,RUSH,4,30,4,1,54,20,21,1,2,1,10,34,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697328,CAR,DEN,PASS,5,5,4,1,24,20,21,1,2,2,5,39,2,0,1,1,0,0,0,0,0,0,0,0,2035
4257,697329,CAR,DEN,PASS,6,28,4,1,19,20,21,0,2,3,5,39,2,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697330,CAR,DEN,PASS,7,9,4,0,51,20,21,0,2,1,10,47,3,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697331,CAR,DEN,NOPL,7,6,4,0,42,20,21,0,2,2,10,47,3,0,0,0,0,0,0,1,0,0,0,0,2035
4257,697332,CAR,DEN,PASS,8,7,4,0,36,20,21,0,2,2,10,47,3,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697333,CAR,DEN,PASS,9,15,4,0,29,20,21,0,2,3,10,47,3,1,1,1,0,1,0,0,0,0,0,0,2035
4257,697334,CAR,DEN,PASS,10,20,4,0,14,20,21,0,2,1,10,63,4,0,0,0,0,0,0,0,0,0,0,0,2035
4257,697335,CAR,DEN,PASS,11,20,4,0,14,20,21,0,2,2,10,63,4,0,0,0,0,0,0,0,0,0,0,0,2035
4257,697336,CAR,DEN,FGXP,12,5,4,0,9,20,21,0,1,3,5,68,4,0,0,0,0,0,0,0,0,0,0,0,0
4257,697337,DEN,CAR,RUSH,1,4,4,0,4,21,20,1,0,1,10,40,2,0,0,0,0,0,0,0,0,0,0,0,2034
4258,697338,BAL,BUF,KOFF,0,3,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4258,697339,BAL,BUF,RUSH,1,25,1,14,57,0,0,3,3,1,10,14,1,0,0,0,0,1,0,0,0,0,0,0,2036
4258,697340,BAL,BUF,PASS,2,31,1,14,32,0,0,3,3,2,4,20,1,1,1,1,0,1,0,0,0,0,0,0,2036
4258,697341,BAL,BUF,RUSH,3,26,1,14,1,0,0,3,3,1,10,25,2,0,1,1,0,1,0,0,0,0,0,0,2036
4258,697342,BAL,BUF,PASS,4,41,1,13,35,0,0,3,3,2,10,25,2,0,0,1,0,1,0,0,0,0,0,0,2036
4258,697343,BAL,BUF,RUSH,5,49,1,12,54,0,0,3,3,3,1,34,2,0,0,1,0,1,0,0,0,0,0,0,2036
4258,697344,BAL,BUF,NOPL,5,13,1,12,5,0,0,3,3,4,1,34,2,0,0,0,0,0,0,1,0,0,0,0,2036
4258,697345,BUF,BAL,PUNT,0,8,1,11,52,0,0,3,3,4,6,29,2,0,0,0,0,0,0,0,0,0,0,0,0
4258,697346,BUF,BAL,PASS,1,42,1,11,44,0,0,3,3,1,10,32,2,0,1,0,0,1,0,0,0,0,0,0,2037
4258,697347,BUF,BAL,RUSH,2,47,1,11,2,0,0,3,3,2,8,34,2,0,1,0,0,1,0,0,0,0,0,0,2037
4258,697348,BUF,BAL,PASS,3,33,1,10,15,0,0,3,3,3,14,28,2,0,1,0,0,1,0,0,0,0,0,0,2037
4258,697349,BAL,BUF,PUNT,0,9,1,9,42,0,0,3,3,4,18,24,2,0,0,0,0,0,0,0,0,0,0,0,0
4258,697350,BAL,BUF,PASS,1,28,1,9,33,0,0,3,3,1,10,34,2,0,1,0,0,1,0,0,0,0,0,0,2036
4258,697351,BAL,BUF,PASS,2,34,1,9,5,0,0,3,3,2,7,37,2,0,1,0,0,1,0,0,0,0,0,0,2036
4258,697352,BAL,BUF,NOPL,2,24,1,8,31,0,0,3,3,3,1,43,3,0,0,0,0,0,0,1,0,0,0,0,2036
4258,697353,BAL,BUF,NOPL,2,22,1,8,7,0,0,3,3,3,6,38,2,0,0,0,0,0,0,1,0,0,0,0,2036
4258,697354,BAL,BUF,PASS,3,34,1,7,45,0,0,3,3,3,11,33,2,1,1,0,0,1,0,0,0,0,0,0,2036
4258,697355,BAL,BUF,PASS,4,6,1,7,11,0,0,3,3,1,10,49,3,0,0,1,0,0,0,0,0,0,0,0,2036
4258,697356,BAL,BUF,RUSH,5,5,1,7,5,0,0,3,3,2,10,49,3,1,1,1,0,0,0,0,0,1,0,0,2036
4258,697357,BUF,BAL,PASS,1,41,1,7,0,0,0,3,3,1,10,53,3,0,0,0,0,1,0,0,0,0,0,0,2037
4258,697358,BUF,BAL,RUSH,2,44,1,6,19,0,0,3,3,2,5,58,3,0,1,0,0,1,0,0,0,0,0,0,2037
4258,697359,BUF,BAL,PASS,3,5,1,5,35,0,0,3,3,3,6,57,3,0,1,0,0,0,0,0,0,0,0,0,2037
4258,697360,BUF,BAL,NOPL,3,20,1,5,30,0,0,3,3,4,6,57,3,0,0,0,0,0,0,1,0,0,0,0,2037
4258,697361,BAL,BUF,PUNT,0,10,1,5,30,0,0,3,3,4,11,52,3,0,0,0,0,0,0,0,0,0,0,0,0
4258,697362,BAL,BUF,RUSH,1,28,1,5,22,0,0,3,3,1,10,9,1,0,0,0,0,1,0,0,0,0,0,0,2036
4258,697363,BAL,BUF,PASS,2,39,1,4,54,0,0,3,3,2,8,11,1,1,1,1,0,1,0,0,0,0,0,0,2036
