uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88697,4262,DA-0212,0,0,0,0,0,0,0,0,0,7,3,50,1,0,0,0,0,0,0,59,11,12.5,14,1,3,2016,GB,LWR,17,2
88698,4262,RG-1812,0,0,0,0,0,0,0,0,0,2,1,9,0,2,14,0,0,0,0,24,0.9,1.4,1.9,1,2,2016,JAC,LWR,13,2
88699,4262,ML-1500,0,0,0,0,0,0,0,0,0,2,2,48,0,0,0,0,0,0,0,37,4.8,5.8,6.8,1,11,2016,JAC,TE,89,1
88700,4262,JS-6200,0,0,0,0,0,4,0,7,0,1,1,6,0,0,0,0,0,0,0,18,1.3,1.8,2.3,1,7,2016,GB,RB,44,2
88701,4262,JN-0900,0,0,0,0,0,0,0,0,0,9,6,32,1,0,0,0,0,0,0,54,9.2,12.2,15.2,1,9,2016,GB,LWR,87,1
88702,4262,AH-3900,0,0,0,0,0,0,0,0,0,5,4,75,0,0,0,0,0,5,0,62,7.5,9.5,11.5,1,3,2016,JAC,RWR,88,1
88703,4262,DR-2250,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,8,0.7,0.7,0.7,1,4,2016,JAC,RB,16,3
88704,4262,JC-4300,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,33,0.7,1.2,1.7,1,8,2016,GB,TE,89,2
88705,4262,JA-0050,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,14,0.8,1.3,1.8,1,3,2016,GB,RWR,84,2
88706,4262,TM-3150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,11,0,0,0,1,2,2016,GB,RWR,88,3
88707,4263,MM-0900,0,0,0,0,0,0,0,0,0,0,0,0,0,8,132,0,0,0,0,0,0,0,0,1,7,2016,TEN,RWR,87,3
88708,4263,DM-4300,0,0,0,0,0,13,6,42,0,7,5,35,2,0,0,0,1,0,1,50,19.7,22.2,25.7,1,6,2016,TEN,RB,29,1
88709,4263,DH-2450,0,0,0,0,0,5,2,3,0,2,2,41,0,0,0,0,0,0,0,21,4.4,5.4,6.4,1,1,2016,TEN,RB,22,2
88710,4263,MM-0912,41,25,271,1,2,4,3,19,0,0,0,0,0,0,0,0,1,0,1,66,18.74,19.74,19.74,1,2,2016,TEN,QB,8,1
88711,4263,TS-1262,0,0,0,0,0,0,0,0,0,11,7,76,0,0,0,0,0,0,0,64,7.6,11.1,14.6,1,1,2016,TEN,RWR,19,1
88712,4263,DW-0500,0,0,0,0,0,0,0,0,0,5,3,42,0,0,0,0,0,0,0,54,4.2,5.7,7.2,1,11,2016,TEN,TE,82,1
88713,4263,AJ-0900,0,0,0,0,0,0,0,0,0,7,3,30,0,0,0,0,0,0,0,24,3,4.5,6,1,14,2016,TEN,LWR,81,2
88714,4263,AP-0700,0,0,0,0,0,19,6,31,0,2,0,0,0,0,0,0,0,0,0,38,3.1,3.1,3.1,1,10,2016,MIN,RB,28,1
88715,4263,SH-1100,33,18,236,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,63,10.24,10.24,10.24,1,15,2016,MIN,QB,13,1
88716,4263,CJ-1450,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,49,0.5,1,1.5,1,4,2016,MIN,RWR,12,1
88717,4263,SD-0537,0,0,0,0,0,1,0,-1,0,9,7,103,0,0,0,0,0,0,0,55,10.2,13.7,20.2,1,2,2016,MIN,LWR,14,1
88718,4263,RM-1500,0,0,0,0,0,0,0,0,0,4,3,26,0,0,0,0,0,0,0,35,2.6,4.1,5.6,1,5,2016,TEN,LWR,18,1
88719,4263,KR-1200,0,0,0,0,0,0,0,0,0,8,4,65,0,0,0,0,0,0,0,58,6.5,8.5,10.5,1,6,2016,MIN,TE,82,1
88720,4263,JM-3450,0,0,0,0,0,1,0,6,0,2,1,3,0,0,0,0,0,0,0,16,0.9,1.4,1.9,1,3,2016,MIN,RB,21,2
88721,4263,RE-0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,1,5,2016,MIN,TE,85,2
88722,4263,AT-0350,0,0,0,0,0,0,0,0,0,5,4,54,0,0,0,0,0,0,0,35,5.4,7.4,9.4,1,4,2016,MIN,LWR,19,2
88723,4263,HD-0300,0,0,0,0,0,0,0,0,0,5,2,21,0,0,0,0,0,0,0,36,2.1,3.1,4.1,1,9,2016,TEN,LWR,83,3
88724,4263,CP-0750,0,0,0,0,0,1,1,8,0,1,1,6,0,1,61,0,0,0,0,5,1.4,1.9,2.4,1,4,2016,MIN,LWR,84,3
88725,4263,MA-1150,0,0,0,0,0,4,2,13,0,0,0,0,0,0,0,0,0,0,0,9,1.3,1.3,1.3,1,6,2016,MIN,RB,44,3
88726,4264,DB-3800,42,28,423,0,4,2,1,5,0,0,0,0,0,0,0,0,1,13,0,69,31.42,31.42,35.42,1,16,2016,NO,QB,9,1
88727,4264,CF-0650,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,56,0.6,1.1,1.6,1,5,2016,NO,TE,82,1
88728,4264,BC-2325,0,0,0,0,0,1,1,11,0,9,6,143,2,0,0,0,0,0,0,62,27.4,30.4,36.4,1,3,2016,NO,RWR,10,1
88729,4264,MC-2900,0,0,0,0,0,0,0,0,0,9,7,87,0,0,0,0,0,35,2,67,12.7,16.2,19.7,1,8,2016,OAK,LWR,15,1
88730,4264,DC-0725,38,24,319,0,1,2,1,16,0,0,0,0,0,0,0,0,0,0,3,73,24.36,24.36,27.36,1,3,2016,OAK,QB,4,1
88731,4264,TJ-2400,0,0,0,0,0,1,0,-8,0,2,2,17,0,3,57,0,0,0,0,6,0.9,1.9,2.9,1,6,2016,OAK,RB,22,2
88732,4264,LM-1850,0,0,0,0,0,14,9,59,1,2,1,13,0,0,0,0,0,0,0,45,13.2,13.7,14.2,1,4,2016,OAK,RB,28,1
